News,Labels
"Amid a rare surge of national pride, even voters who might be otherwise leery of his globalist gloss admit that Carney has serious �skillz,� as the kids say, to match the Trump team brain cell for brain cell in the trade war, which is preferable to the alternative of a career politician with no special expertise in Canada�s domestic or international economic policymaking.
",Politics
"Recent polling suggests that the once-hapless Liberals are within striking distance of a Conservative Party that once expected to waltz into power. Outgoing leader Justin Trudeau created the conditions for Carney�s accession. As Trudeau neared his ten-year milestone, the usual shelf life of a Canadian prime minister, he embarked on a journey of self-defenestration. When his perfunctory talks with President Donald Trump proved fruitless, he returned to Ottawa to talk his finance minister out of her job. Instead, she invited him to take the job and shove it, precipitating his downfall faster than a pronghorn across the Saskatchewan prairie.
",Politics
"What does it mean for Canada to have Carney meeting this moment? Much more, if it turns out that this political neophyte recalls another candidate who thrilled millions initially, only to falter in the transition from the shadows of policymaking into the unforgiving world of retail campaigning.",Politics
"There was an outpouring of joy and jubilation over the journey of the accomplished and telegenic Kamala Harris to the top of the Democratic ticket. Polls showing narrowing margins in July and August left Democrats with the illusion that their candidate would step up to the podium on the West Front of the U.S. Capitol, an illusion that persisted until screens displayed a bright-red map of the United States on election night.",Politics
"Tim Walz�s recent critique of 2024 electoral tactics confirmed that Harris�s team played it safe, shying away from criticism of President Biden, failing to validate voter angst on inflation, housing, and other quotidian woes. Appeals about democracy and warnings about Project 2025 didn�t resonate with an electorate that reasoned life under Trump wouldn�t be �that bad,� nor did they persuade couch-sitters to get off their collective duffs. Walz, whom The Washington Post described as �a surprisingly bubble-wrapped campaigner,� lamented that he and Harris should have more forcefully countered the conservative bro-verse, and gotten off the swing-state treadmill and met voters where they lived by doing more town halls.",Politics
"Just how conservative is Poilievre? Maple MAGA, as far-right conservatives are known in Canada, is similar to its U.S. counterpart: Its fans are mostly rural and disgruntled working-class (though not union member) Canadians. �You don�t actually have to go very far to find people who are perfectly comfortable saying the sort of things that MAGA says in the U.S., and believing many of the same facts or factoids in relation to Canada as well as to the U.S.,� says Johnston. Poilievre �is an appealing figure for the more MAGA side of Canada [but] even there he�s an equivocal figure, he�s not MAGA enough.�
",Politics
"Another test for Carney is securing a seat in Parliament. He must find a �safe� Liberal seat where he can be easily elected. For example, Johnston suggests that a downtown Toronto or Vancouver riding (district) with a high percentage of university graduates could be doable. A riding in Ottawa, where he lives, or Edmonton, where he grew up, might also be on the table. But Alberta, as a whole, is a Conservative stronghold with a premier, Danielle Smith, who has ties to the American right.",Politics
"For Duke University�s Moody, polio tops the list of diseases to worry about. �It would not take much for polio to get established again,� he said. �Polio is still circulating in different parts of the world. That�s the one that honestly worries me the most.�",Health
"Vaccinations against polio dropped from 95% in 2019-2020 to 92.6% in 2023-2024. While that�s still above the 80% threshold for immunity, experts warn of �pockets� throughout the country where many people are unvaccinated or under-vaccinated.�",Health
"Mumps is a viral disease affecting the salivary glands that can be serious. It�s spread by contact with saliva or respiratory droplets when an infected person coughs or sneezes, shares items with saliva on them (such as water bottles), or is in close contact with others. ",Health
"While rubella, or German measles, is typically less severe than measles in children, it poses a serious danger to pregnant women, Moody said. Getting it during pregnancy raises the risk of miscarriage, stillbirth, and delivering a baby with birth defects.",Health
"The CDC�s latest update on the Boar�s Head outbreak says 57 people have been hospitalized since May. People in 18 states have been sickened: Arizona, Florida, Georgia, Illinois, Indiana, Maryland, Massachusetts, Minnesota, Missouri, New Mexico, New Jersey, New York, North Carolina, Pennsylvania, South Carolina, Tennessee, Virginia, and Wisconsin. The most illnesses were reported in New York, where 17 people were sickened, followed by Maryland with eight and New Jersey with five. 
",Health
"One person just recently began having symptoms in mid-August, highlighting the CDC�s caution that it can take up to 10 weeks before an infection from the bacteria is apparent. Common symptoms are a fever, muscle aches, and tiredness, but they can also include a headache, stiff neck, confusion, loss of balance, or seizures.",Health
"The nationwide recall was first issued in late July for specific Boar's Head liverwurst products (a type of bologna) that were sliced at deli counters, and days later the U.S. Department of Agriculture published an expanded recall list of 71 products, comprising all of the products produced at a single Boar�s Head facility in Virginia where the liverwurst was made. Early in the investigation, laboratory testing by Maryland health officials confirmed Listeria monocytogenes in an unopened package of liverwurst. ",Health
"The products were sold in 25 states, plus Washington, D.C., and Puerto Rico, and the FDA reported that the recall was voluntarily started by the product�s distributor, Florida-based Refresco Beverages U.S. Inc., noting that the firm has so far not issued any news release regarding the recall. Nearly 10,000 cases of apple juice are impacted. ",Health
"The old clich� exists for a reason: An apple a day benefits your whole body in multiple ways. One of the most widely grown and eaten fruits in the world, they come in more than 7,500 varieties. They are healthiest when you eat them fresh and whole (as opposed to pre-sliced, juiced, or as applesauce). A medium one has about 80 calories, 1 gram of protein, 19 grams of natural sugar, and zero fat, sodium, or cholesterol. ",Health
"That�s where apples store two-thirds of the fiber that keeps your digestive system on track. The shiny skin also holds lots of antioxidants, or natural substances that help protect your cells from some of the damage that may lead to cancer, heart disease, and stroke. If you�re concerned about pesticides, give it a good wash before you sink your teeth into its sweet flesh. ",Health
"Apples have more of the plant pigment quercetin than most other fruits and vegetables. This plant-derived chemical called a flavonoid protects cells throughout your body, including the ones in your brain. These fruits are also high in antioxidants that may help offset the memory loss caused by various types of damage to your cells. One small study suggested that apple juice improved the mood and behavior of people with moderate to severe Alzheimer�s disease",Health
"Flavonoids give apples their color, protect them from harmful elements in the environment, and repair damage to their skin and cells. These natural chemicals may be good for you, too. Quercetin, which can help brain cells, protected pancreas cells from cancer in lab studies and holds promise to help people, too. Research is ongoing. ",Health
"Your pancreas plays a key role in processing the sugar in your bloodstream. The flavonoids in apples may help keep the cells in your pancreas healthy and able to perform this important job. That may help lower your risk for type 2 diabetes. In one 9-year study, people who ate one or more apples a day were 28% less likely to get type 2 diabetes than those who didn�t eat them. ",Health
"One medium apple with skin has 4.3 grams of fiber. This nutrient slows down your digestion and helps you feel fuller longer. These fruits also have a low glycemic load, which means they won�t spike your blood sugar too high and trick you into thinking you�re still hungry. These satisfying effects can keep you from snacking and help you maintain your weight. ",Health
One group of researchers found that people who ate at least one apple a day were a third less likely to get colon cancer than those who did not. The healthy helping of both fiber and flavonoids may help protect the lining of the intestines and keep the cells healthy.,Health
"Apples are a natural source of pectin, a soluble fiber that moves food through your digestive system and keeps you regular. Bonus benefit: Your good gut bacteria love to feed on pectin. Some experts think that pectin helps the good bacteria multiply, which may help ward off some chronic diseases and cancer in the gut.",Health
"In lab studies, the combination of plant chemicals, pectin, and fiber in apples helped protect heart and blood vessel cells from damage. The pectin and fiber can also help lower LDL or ""bad"" cholesterol that can build up in your arteries and lead to heart disease.",Health
"Apples, like other fruits and vegetables, have natural anti-inflammatory and antihistamine properties, which means they may help take a bite out of asthma and other breathing problems. One study of women who ate apples while pregnant showed that their children were less likely to have symptoms of asthma and wheezing by age 5. Some studies show that people who eat more fruits and vegetables are less likely to have asthma. ",Health
"They can�t compete with oranges, but apples have 10% of the vitamin C you need every day. That plus the soluble fiber you get from pectin makes this fruit a delicious defense against any germ that attacks your immune system. And if you do get sick, apples may even help you bounce back quicker. ",Health
"For all its health benefits, one part of this fruit is forbidden -- in large quantities, that is. The seeds contain amygdalin, a compound that becomes cyanide in your body. If you accidentally eat a seed, it won�t poison you -- your body can detoxify small amounts of cyanide on its own. You�d have to chew seeds from many apples at once very carefully to release enough amygdalin in your system to be harmful. ",Health
"By the time Jeff Reeh received the letter from Pharm D Solutions, a compounding pharmacy in Houston, he was already battling a ""raging infection"" that threatened to take his leg. It wasn't the first, or last, letter Pharm D Solutions had to send telling customers to stop using its products � in this case, amino acid injections to help Reeh recover after workouts.",Health
"Unlike conventional pharmacies, which mostly dispense premade drugs in standard doses, compounding pharmacies make, or ""compound,"" medications on the premises, according to federal guidelines. For many patients, their medications aren't available any other way.",Health
"Recent headlines have raised alarms about compounding pharmacies. In March, a Massachusetts compounding pharmacy owner was sentenced to 10-15 years in prison after pleading no contest to 11 counts of involuntary manslaughter stemming from his pharmacy's contaminated medicine, now estimated to have killed at least 100 people.",Health
"Medication shortages are common. Supply chain problems caused shortages in 2023, as did a tornado that hit Pfizer's Rocky Mount, NC, facility, where more than 150 medicines were made. Compounding pharmacies stepped in, performing their longtime essential role of filling in gaps in production.",Health
"There have been recent bad actors: The FDA issued a warning on compounded semaglutide in December. Europe reported counterfeits in October, prompting a World Health Organization committee to take up the matter. The Partnership for Safe Medicines has reported fakes in 16 countries.",Health
"Their role as stopgap is one of many needs compounding pharmacies serve. They also omit ingredients that cause allergic reactions and customize pain medications, cancer drugs, hormone replacements, erectile dysfunction shots, veterinary medicines, and other prescriptions.",Health
"In 2018, Jeff Reeh had no reason to believe he'd be hurt by the injections his doctor prescribed. His physician recommended Pharm D Solutions, which compounded and mailed them to his business in San Antonio. For more than a year, Reeh gave himself the shots in his thigh twice a week after workouts, without a problem.
",Health
"Reeh made it home, where, for 153 days, doctors gave him antibiotics and other drugs through a special catheter (PICC line) to his heart to attack the infection (Mycobacterium chelonae-abscessus, a bacteria typically found in dirt and soil). Oral medicines continued for another 94 days.",Health
"An omega 3 rich hypocaloric diet plan that ameliorates blood lipid profile, improves cardiovascular function, reduces inflammation, and promotes proper glucose metabolism as well as fat loss",Health
"Staying properly hydrated is vital at every stage of life. Water supports digestion, regulates body temperature, and helps maintain energy levels. Individual needs vary, but these general guidelines can help you understand how much water you should aim for as you age.",Health
"�There is great uncertainty about future business activity due to the risk of tariffs and other potential government actions,� one firm in the agriculture, forestry, fishing and hunting space said in the ISM survey.",Business
Another accommodation and food services business noted that tariffs have �created chaos� in pricing and other metrics that make it hard to forecast future demand.,Business
"�These world-class ports facilitate global growth,� said a statement from BlackRock CEO Larry Fink. �Through our deep connectivity to organizations like Hutchison � and governments around the world, we are increasingly the first call for partners seeking patient, long-term capital. We are thrilled our clients can participate in this investment.�",Business
"But among its holdings, it owns the second-largest stake in some of the nation�s largest and most successful companies, including Walmart, Apple, Amazon, Microsoft and Google owner Alphabet.",Business
"And it is a key part of Panama�s economy. In 2024, the canal earned nearly $5 billion in total profits. According to a study released in December by IDB Invest, 23.6% of Panama�s annual income is generated from the canal and companies that provide services related to the canal�s operations.",Business
"Discover the potential of leveraging idle gold jewellery at home. Delve into the basics of Gold Loans, including the loan process and differentiation from personal, education, and car loans. Explore the typical interest rates for Gold Loans in this edition of TOI Wallet Talks, featuring George Alexander Muthoot, MD of Muthoot Finance, addressing Frequently Asked Questions on Gold Loans.",Business
Mumbai real estate prices more than doubled compared to Delhi in the last 10 years,Business
"In Monaco, the world's costliest city, US$ 1million (about Rs 8.7 crore) buys merely 200sqft of residential space, whilst the same amount secures a 1,065sq ft flat in Mumbai. ",Business
"It turns out�tariffs�are good news for goldbugs. As trade policy uncertainty and�recession fears�rattle�markets, surging demand for safe-haven assets helped briefly drive the precious metal�s spot price above the milestone $3,000 mark for the first time on Friday, though it declined later in the day.���",Business
"A historic�buying spree�of bullion by central banks has helped spur a rally in recent years, but traders have been rewarded for their bets on the metal for some time. Gold prices have risen about 10-fold since 2000, per�Bloomberg, while the S&P 500 has merely quadrupled. As interest in the metal picks up, however, smaller investors may especially want to think twice before adding bullion to their�portfolios.",Business
"Gold isn�t as liquid as it�s often made out to be, Rob Haworth, a senior investment strategist at U.S. Bank Wealth Management, told�Fortune. After all, it�s probably a stretch to say the metal is easily convertible into cash and exchangeable for other goods and services.",Business
"On Friday morning, Armstrong, 63 years old, canceled his daughter�s high-school class trip to Spain to free up cash. The trip was going to cost him $322 a month until the trip in spring 2026. The single dad, an independent who voted for Kamala Harris, has also cut back on buying new clothes and ordering food from Grubhub, a treat he and his daughter used to indulge in once a week.",Business
"When Wall Street strategists were cheering on President Trump�s electoral victory and projecting another rosy year for U.S. stocks, J.P. Morgan�s Michael Cembalest was taking a decidedly different tack.

While others insisted that Trump�s tariff threats were likely a negotiating tactic and that investors should focus on the more pro-growth elements of the president�s agenda, Cembalest, the chairman of market and investment strategy for J.P. Morgan�s asset- and wealth-management business advised that it would be prudent to take Trump at his word.",Business
"Otherwise, investors risked becoming collateral damage, Cembalest warned in his 2025 year-ahead outlook. Given the risks that Trump�s tariffs or another aspect of his policy agenda could incite a stock-market rebellion, Cembalest recommended anticipating a correction between 10% and 15% at some point in 2025.",Business
"
Scotch and Irish whiskey aren�t the only alcohols that will feel the pain of a 200% tariff on European-made products � so will your favorite bottles of Bordeaux and Chianti.",Business
"Wine, which already dealt with an 8% drop in US sales last year, was hit with another blow this week when President Donald Trump threatened another round of tariffs set to go into effect in April. A �vast majority will struggle to manage these added expenses,� Francis Creighton, CEO of the Wine and Spirits Wholesalers of America (WSWA), said in a statement. �At the end of the day, these tariffs if implemented won�t just hurt our industry � they will directly raise prices for American consumers.�",Business
"Imported wine and spirits encompass 35% of revenue of all US sales in the alcohol market, meaning that all aspects of cocktails and wines ordered at restaurants or purchased at retailers will �rise significantly� if the tariffs go into effect, the trade organization warned.",Business
"If tariffs are implemented, drinkers might have to shift their allegiance to American-made wines.
�I�m sure some (wine) purists would disagree with me, but I definitely think that almost anything you can find in Europe, you can find a great equivalent here in the United States,� Allison Luvera, co-founder and CEO of California-based Juliet Wine, told CNN.",Business
"For example, during the �Judgement of Paris� competition in 1976, wines from Napa Valley, California, won both the red and white categories, beating legendary chateaux and domaines from Bordeaux and Burgundy in a blind taste test. Since then, American equivalents of red Burgundy wines produced in eastern France have risen in reputation.",Business
"Drinkers looking for a similar to a red Burgundy and white Burgundy, should look for a Pinot Noir and Chardonnay, respectively. Luvera said there�s �absolutely standout regions� in the US that make wines �similar in style and profile to the French counterparts� � for example, the Willamette Valley in Oregon, specifically Eola-Amity Hills, which are �putting out wines that rival some of the best stuff coming out of France.�",Business
"Drinkers looking for a flavor similar to Sancerre, a crisp white wine made in central France, can turn to a Sauvignon Blanc made in the Central Coast of California because those grapes are grown in similar climates to France.",Business
"Staging an India entry with Tesla and Starlink just when his business is struggling with several challenges, Elon Musk may find the promise of the Indian market has dimmed for his business. Long seen as a potential disruptor for India's electric vehicle (EV) and telecom market, today Musk stares at the India opportunity made complex for him by customer preferences, regulation and competition. Many think his companies may not after all be able to disrupt the Indian market in any significant way nor reap any huge dividends.",Business
"Reliance Jio and Bharti Airtel have announced agreements with SpaceX to distribute Starlink's broadband services in India. As part of these agreements, the telecom firms will sell Starlink's equipment through their retail outlets, with Jio additionally providing installation and activation support. They will also offer Starlink's services to businesses, schools, and health centers in rural areas. However, these agreements are subject to regulatory approval, as SpaceX is yet to receive authorization to sell Starlink services in India.
",Business
"As per a JM Financial report, Starlink's satellite broadband services are unlikely to pose a major threat to Indian telecom giants Jio and Bharti, as their home broadband plans offer better pricing, higher speeds, and unlimited data. Instead, Starlink's service is expected to complement telcos' existing networks, helping to expand high-speed internet access to remote and rural areas",Business
"Given India's price-sensitive market, Starlink's higher costs and speed limitations make it less competitive for urban users. This reinforces its role in serving rural and underserved regions rather than competing directly with Jio and Bharti's Fiber and AirFiber broadband services. While the current agreement primarily focuses on distribution, there is potential for future collaboration between Jio, Bharti, and Starlink in direct-to-cell satellite services. Globally, Starlink has partnered with telecom companies like T-Mobile (US), Rogers (Canada), Optus (Australia), and KDDI (Japan) to provide satellite connectivity.",Business
"Temasek�s investment in Haldiram�s, finalized on March 11, is a significant milestone for India's packaged food industry. Securing a 9-10% minority stake, Temasek outbid several global firms, signaling rising international interest in India�s consumer market.",Business
"Temasek�s investment in Haldiram�s, finalized on March 11, is a significant milestone for India's packaged food industry. Securing a 9-10% minority stake, Temasek outbid several global firms, signaling rising international interest in India�s consumer market. This deal is one of the largest foreign investments in India�s FMCG sector, reflecting confidence in the country�s booming food and retail space. With rising disposable incomes and shifting consumption patterns, India has become a hotspot for global investors looking to tap into its expanding middle-class market.",Business
"While Temasek has secured its position, reports suggest private equity giants Blackstone and Alpha Wave Global are in talks for an additional 5% stake in Haldiram�s. If finalized, this could bring in even more foreign capital into the Indian FMCG space. Haldiram�s, one of India's most recognized snack brands, has drawn global attention with its traditional sweets and packaged foods. A valuation of $10 billion underscores the strength and potential of India's FMCG sector, which continues to attract major international players.",Business
"The Nepal Stock Exchange (NEPSE) dropped by 30.36 points, or 1.05%, on Tuesday, closing at 2,846.30 points by the end of the trading session. After a strong rally on Sunday, when the index surged by 75.24 points, the market failed to maintain its upward momentum, slipping by 13.62 points on Monday and extending losses into Tuesday.",Business
"Along with the decline in the benchmark index, the daily turnover also decreased significantly. A total of 26,389,910 shares of 318 companies were traded in 122,336 transactions, bringing the turnover down to Rs 12.9 billion. This marks a drop from Monday's intraday turnover of Rs 14.28 billion and Sunday's Rs 14.25 billion. While Monday saw a slight increase in turnover despite the index decline, the trend could not be sustained, leading to a notable drop on Tuesday.",Business
"The Liberals appear to be keen to call an election as early as possible, perhaps before Parliament reconvenes on March 24. The vote would then be held at the end of April or in early May.",Politics
"Yet Kamala Harris�s warnings weren�t heeded by Americans, and both countries are living with the psychic and economic whiplash of that seminal miscalculation. Will Pierre Poilievre�s �Canada First� rhetoric, with its MAGA-adjacent �America First� tones, stoke fears of �cozying up� and precipitate a strong enough backlash to disable the Conservatives? Can Mark Carney convince Canadians that he is the one to keep their country on an even keel as it tries to discern exactly what it is that the United States really wants? An American-instigated trade war is more fraught than the Great Recession or Brexit.",Politics
The CPN (Unified Socialist) on Friday announced its protest against the political and social problems facing the country. General Secretary Ghanashyam Bhusal unveiled the first phase of the protest at a press meet in Kathmandu. The agitation will conclude on May 8.,Politics
"As per the protest plan, discussions will be held in the party�s lower committees from March 15-19, suggestions will be collected from various unions, organisations, and individuals at the central level from March 20 to March 28, and a memorandum will be submitted to the government on April 2. Public dialogues will be conducted at the provincial and district levels by mid-April.",Politics
"On April 18, memorandums will be submitted at provincial and district administrations. Public dialogues will be conducted at the municipal and ward levels by April 28, and memorandums will be submitted to municipal and ward offices from May 2 to May 5.
",Politics
"For months, opposition lawmakers have been critical of Rishikesh Pokharel, chairperson of the Public Accounts Committee (PAC) of the lower house, for his alleged reluctance to call the parliamentary panel�s meeting. Not only have they publicly criticised Pokharel, they also asked for his resignation from the position. He faces allegations that under him, the PAC, the most important parliamentary committee to hold the government accountable, has become useless and is working at the government�s behest.
",Politics
"While other House committees hold regular meetings whether or not Parliament is in session, the PAC seldom meets. Its last meeting was held on February 18 to discuss the unsettled accounts pointed in the auditor general�s report. Other preceding meetings were held on January 21 and 22.
",Politics
"While Pokharel�s alleged reluctance is regarded as the primary reason for the delay in the committee�s meeting, opposition lawmakers too have done nothing more than criticising him. As per parliamentary regulations, one third of the committee�s lawmakers can formally demand a meeting.",Politics
"Pokharel said the PAC's meeting has not been called as per an agreement that different sub-committees will finalise their reports first. �In the last meeting, we had agreed that the full committee will meet after all sub-panels complete their reports,� he said. �I don't know why our friends are talking otherwise now. I have received two of three reports. The committee will sit once the last report is submitted. Possibly next week.�
",Politics
"Amresh Kumar Singh, a member of the subcommittee formed to look into alleged corruption in the Gautam Buddha International Airport, claims that the report has been delayed as leaders of the ruling parties are directly involved in the irregularities. He claims massive irregularities were found, particularly during land acquisition while building the airport.
",Politics
"Presenting a proposal to reject the bill to replace the ordinance to amend some Nepal Acts Related to Good Governance and Public Service Delivery, lawmakers on Wednesday said they do not believe the Oli government wants good governance. It is empty rhetoric for the government that has been in office for seven months to talk about good governance while it cannot or does not want to disclose the property details, lawmaker Prabhu Sah said.
",Politics
"The Corruption Prevention Act, 2002 requires the prime minister and ministers to submit their property details within 60 days of joining the government, while all public position holders need to do so within 60 days of the end of the fiscal year. In addition to the prime minister and ministers, the rule applies to all elected representatives and government employees. Although the Act doesn�t make it mandatory to unveil the property details, successive prime ministers and ministers made them public as a sign of their commitment to transparency. The details are made public after their submission to the Council of Ministers.
",Politics
"Those advocating good governance and transparency say property disclosure is a tool to hold the people who are paid from the state coffers accountable. They say that people�s representatives should lead by example. Refusing to share their property details, against the tradition built over three decades, is regressive, they argue.
",Politics
"The main opposition CPN (Maoist Centre) held a meeting of the party�s office bearers on Monday to discuss recent developments. The party abruptly halted the month-long �awakening campaign� in Tarai-Madhesh districts a day before the pr0-monarchy demonstration.
",Politics
"�Regressive forces have become active in recent days, and this is because of the present government�s utter failure,� Maoist Centre vice-chair Agni Prasad Sapkota, who is also party spokesperson, told journalists after the meeting. �People are frustrated with bad governance seen in every state body.� The Maoist Centre also concluded that a strong resistance was needed against the former king�s increasing activism, which they believed aimed to reverse the republican system.
",Politics
"After the party�s meeting, Dahal met other leaders of political parties including those aligned under the Socialist Front, which is comprised of the Maoist Centre, the CPN (Unified Socialist), Janata Samajbadi Party-Nepal, Janamat Party and Communist Party of Nepal led by Netra Bikram Chand Biplav.",Politics
"Unified Socialist chair Nepal blamed CPN-UML Chairman and Prime Minister KP Sharma Oli for the resurgence of �reactionary elements�. He attributed it to the current government�s incompetence and bad governance. Nepal, however, stressed that protecting the system is a primary responsibility of the republican political forces. �Reactionary and status-quoists have started raising their heads. We have taken this matter seriously,� he said at the party�s secretariat meeting on Monday. He instructed party members to stay alert and united in favour of the republic system.
",Politics
"He instead tried to ridicule the pro-Hindu and pro-monarchy forces� protest saying it was backed by outsiders. He was referring to a photo of Uttar Pradesh Chief Minister Yogi Adityanath spotted during the demonstration. �We are not in such a fragile state that we need to use a foreign leader�s photo to organise a rally,� Oli said while inaugurating a convention of the NGO Federation and the Citizens� Conference. �We have no time for undemocratic, anti-system, and unconstitutional activities.�
",Politics
"Meanwhile, Rabi Lamichhane, chief of Rastriya Swatantra Party (RSP), said the government must handle the situation deftly with ordinary people joining the demonstration. Lamichhane, too, lambasted the present government for its inefficiency in governance and delivery. �Isn�t it a two-thirds majority government?� Lamichhane said while talking to journalists in Rupandehi. �Whatever is happening now, the two-thirds majority government must take responsibility for it.� Political analysts say the government and major political parties should take the protest seriously.
",Politics
"Howell was flabbergasted by Mizelle�s argument, saying it sent �chills down my spine� to hear the president could bar all government business with a particular company or person. Howell compared that type of decision by the president to Treasury Department economic sanctions that are decided by the Office of Foreign Assets Control related to national security.",Politics
"Howell also said she was blocking Trump�s order because it appears to violate several Constitutional protections, including the right for defendants to choose their lawyers, and the First Amendment right to petition the government. Perkins Coie also had no warning of the executive order or chance to oppose it before the White House issued it last Thursday, violating their due process, the judge added.",Politics
"While presidents have given speeches on law enforcement efforts and related policies at the Justice Department, Trump�s public airing of grievances was unprecedented. He took the opportunity to instead criticize the courts, rail against both his political enemies and the media, and threaten retribution.",Politics
The president didn�t limit his anger to officials from the last administration; he also lambasted the media � even pointing to reporters sitting in the room. Trump suggested that the way the media described the election may be �illegal.�,Politics
"The president also offered a glowing review of Todd Blanche and Emil Bove, two lawyers who represented him in some of his criminal cases, including the classified documents matter, and were rewarded with top DOJ positions.",Politics
"�This department will not rest until we have ended the fentanyl epidemic in America once and for all,� Trump said. �In less than two months since I took office, the DEA and FBI have seized nearly 1 million deadly doses of fentanyl, and that�s just the beginning.�",Politics
"Democratic and Republican appointees alike, these judges are giving voice to a simmering concern in judicial circles about the erosion of constitutional norms during the first weeks of the second Trump administration.",Politics
"Current and retired federal judges told CNN they are watching the emerging pattern with trepidation. Some are heartened by jurists raising their voices, but others believe judges should be particularly restrained in today�s polarized atmosphere.",Politics
"�High-ranking government officials (appointed and elected) have made repeated calls for the impeachment of judges who issue opinions with which the government does not agree,� American Bar Association President William Bay said in a statement last week. �There have been calls to impeach �corrupt judges� with no effort to produce evidence of the so called �corruption.��",Politics
"And she insisted, in one of the more attention-getting lines of recent litigation, �An American President is not a king � not even an �elected� one � and his power to remove federal officers and honest civil servants like plaintiff is not absolute, but may be constrained in appropriate circumstances, as are present here.�",Politics
"�The court finds that Office of Personnel Management did direct all agencies to terminate probationary employees with the exception of mission critical employees,� he said, rejecting arguments from the Justice Department that OPM merely issued �guidance� to the agencies that then led to the firings.",Politics
"Prized for its versatility, taste and nutritional advantages amid an increasing number of plant-based diets, asparagus is having a moment. With the worldwide asparagus market now valued at a whopping $28.6 billion, it's a vegetable many people can't get enough of.  ""There's a lot to love about asparagus,"" says Jen Messer, a nutrition consultant and registered dietitian at Jen Messer Nutrition. ""It has a unique flavor and texture, is packed with fiber, vitamins and antioxidants and is great to add to salads, soups or simply roasted as a side dish.""",Health
"Asparagus is a nutrient-dense food that provides a host of important vitamins and minerals such as calcium, magnesium, phosphorus and niacin � plus nearly two grams of both protein and dietary fiber in only about seven stalks, per the U.S. Department of Agriculture. Nutrients like these ""are helpful in supporting gut health, immune health, blood sugar stabilization and improved cholesterol levels,"" says LeeAnn Weintraub, a registered dietitian and nutrition consultant based in Los Angeles.",Health
"The vegetable is also a good source of folate, which can further help ""with things like vision, digestion and disease prevention,"" explains Kristen Smith, a registered dietitian nutritionist and spokesperson for the Academy of Nutrition and Dietetics. She adds that asparagus also serves as a prebiotic, which means it provides beneficial gut bacteria. 
",Health
"But it's not all good news. Due to its high fiber content, some people ""might experience bloating with a high consumption of asparagus,"" says Messer. ""And because we don�t digest fiber, our gut microbes ferment it for us and in doing so can create gas,"" she adds. ",Health
"Beyond such potential abdominal discomfort, the vegetable is also notorious for affecting the smell of urine. This unpleasant odor, Smith explains, is the result of something called asparagusic acid, which is unique to the vegetable. ""This acid breaks down into sulfur compounds during digestion and these sulfur byproducts evaporate quickly when you urinate, causing a notable smell,"" she says. ",Health
"The health benefits of eating asparagus are similar whether you eat raw or cooked asparagus, but the bloating and gas associated with the vegetable can be reduced if you cook your asparagus before eating it, Smith says, because cooking it can soften the vegetable's cell walls, making it easier to digest.",Health
"Think of a skin reset as a detox for your face. ""A skin reset is about stripping things back to the basics - just a gentle cleanser, a solid moisturiser, and SPF - so your skin can breathe, repair, and reset,"" explains Malvika Jain, founder and CEO of Sereko. More than dermatologists, young women these days rely on influencers for their daily dose of skincare advice, which often leads to disastrous effects on the skin. A one-size-fits-all approach is anything but helpful when it comes to skincare.",Health
"Overuse of skincare products, especially actives like retinol, AHAs, and BHAs, can weaken the skin barrier, leading to inflammation, sensitivity, and breakouts. A reset allows your skin to breathe with the most minimal and basic ingredients, making it suitable for every skin type. It's about letting the skin heal naturally.",Health
"If your usual products suddenly start stinging or burning, your skin barrier might be compromised due to overuse of actives. Over-exfoliation and excessive cleansing can strip your skin, making it tight, rough, and prone to peeling. If your skin constantly looks inflamed, your routine might be too harsh or overloaded. Sometimes, too many products can lead to clogged pores, inflammation, or even a damaged microbiome. These are signs that your skin needs a reset to help restore balance,"" she adds.",Health
"While not everyone considers themselves (or their closest ones) a gym lover, a gift for health and wellness is a gift that goes much deeper than simply a monetary or superficial present. These gifts can kickstart new habits or wellness practices, help deepen current ones, or simply give someone the inspiration to try something that they have never before.
",Health
"We know that giving gifts for the fitness lovers or health nuts in your life can be a bit challenging, but that shouldn�t deter you! Finding the perfect fitness gift can be as simple as figuring out where to begin.
Maybe you are looking for gift ideas for equipment for a home gym? Try a suspension trainer or a set of ankle/arm weights. Want workout gifts for him? For her? For them? For anyone on your list? We have options here, too! (We hear massage guns make the perfect gift!) Stocking stuffer fitness gifts? Try satin scrunchies or grip socks.
",Health
"Instead, the London-based family doctor with a masters degree in nutrition medicine follows what he calls a ""plant-forward"" or ""plant-focused"" diet. It features plenty of fiber and micronutrients from vegetables, fruit, whole grains, nuts, and seeds, and he eats dairy, meat, and fish occasionally.

Aujla, author of the new recipe book ""Healthy High Protein,"" told Business Insider his diet is about 70 to 75% plant-based.

His favorite recipe from his book? The salmon tikka bowl, which you could also make with chicken or tofu.
",Health
"Aujla said: ""I don't use the word 'meaty' lightly. These tacos are really meaty. The blend of umami in the spices, walnuts, mushrooms, and tempeh in the mixture is phenomenal. And unlike 'meat-like meals', this actually packs a big protein punch that satisfies your body's need for this important macronutrient, rather than just having the texture of meat.",Health
